pdb_id,dna_chain,aptamer_length,protein_total_length,n_protein_chains
1EXD,B,73,529,1
1EXY,A,33,16,1
1HAO,D,15,280,2
1HAP,D,15,280,2
1HUT,D,15,289,2
1OOA,C,29,626,2
1U1Y,S,15,387,3
1ULL,A,35,17,1
2B63,R,31,3918,12
2RSK,A,12,24,2
2RU7,B,12,24,2
3AGV,S,19,385,2
3DD2,B,26,288,2
3EGZ,B,65,91,1
3HXO,B,39,199,1
3HXQ,B,41,201,1
3QLP,D,15,293,2
3UCU,R,91,87,1
3UCZ,R,91,91,1
3UD3,R,91,87,1
3UD4,R,91,87,1
3UZS,C,20,1014,3
3V7E,C,126,158,2
3ZH2,E,27,1248,4
484D,B,27,17,1
4DIH,D,15,276,2
4DII,D,15,277,2
4HQU,C,20,95,1
4HQX,C,20,95,1
4I7Y,D,27,277,2
4KZD,R,83,440,2
4KZE,R,83,440,2
4LZ1,D,14,277,2
4LZ4,E,14,584,4
4M4O,B,59,129,1
4M6D,F,41,774,6
4NI7,B,30,151,1
4NI9,D,32,292,2
4PDB,I,38,129,1
4Q9Q,R,83,440,2
4Q9R,R,83,437,2
4R8I,B,40,68,1
4WB2,D,39,206,3
4WB3,E,39,204,3
4ZBN,E,28,196,2
5CMX,A,30,277,2
5D3G,E,36,1931,4
5DO4,A,25,288,2
5EW1,D,26,277,2
5EW2,E,14,279,2
5HLF,E,35,1933,4
5HP1,E,36,1932,4
5HRO,F,35,1926,4
5HRT,B,34,785,1
5HRU,C,32,611,2
5HTO,F,30,1214,4
5I3U,E,36,1929,4
5I42,E,35,1932,4
5MSF,R,18,387,3
5UC6,B,15,151,1
5VOE,A,36,282,2
5VOF,A,36,282,2
5XN0,F,38,1916,4
5XN1,F,38,1916,4
5XN2,F,38,1916,4
6B14,R,83,440,2
6B3K,R,83,440,2
6BHJ,F,35,1933,4
6CF2,G,35,283,3
6DB8,R,60,436,2
6DB9,R,60,428,2
6EO6,D,14,288,2
6EO7,D,15,289,2
6EVV,E,26,292,2
6GN7,E,26,291,2
6MSF,S,10,387,3
6RTI,X,43,693,1
6SY4,C,37,364,2
6SY6,D,36,359,2
6TXR,E,34,1222,4
6U81,B,17,132,1
6U82,E,38,266,2
6VUG,E,34,1185,4
6Z8V,A,15,278,2
6Z8W,A,15,277,2
6Z8X,B,14,275,2
7F49,B,30,198,1
7JTN,B,23,1404,2
7JTQ,D,24,1406,2
7LRI,E,35,1932,4
7LRM,E,35,1931,4
7LRX,E,35,1931,4
7LRY,F,35,1931,4
7LSK,E,35,1932,4
7MK1,C,41,242,2
7MSF,S,11,387,3
7OZW,F,34,961,2
7P15,F,34,969,2
7SZU,R,66,437,2
7U0Y,R,66,435,2
7V5N,G,24,863,4
7YQ3,G,22,1707,4
7YQ4,G,21,1243,4
7YQ5,G,21,1673,4
7YQ6,G,21,1592,2
7Z24,E,36,929,2
7Z29,E,36,935,2
7Z2D,E,36,959,2
7Z2E,E,36,945,2
7Z2G,E,36,943,2
7Z2H,E,36,937,2
7ZKL,A,15,283,2
7ZKM,A,12,277,2
7ZKN,G,12,555,4
7ZKO,A,13,276,2
7ZQS,C,30,1278,2
8BW5,F,40,290,2
8D29,F,34,1738,8
8DK7,F,34,868,4
8EPK,F,31,580,4
8G8Z,B,31,3169,5
8J1Q,E,31,427,3
8J26,E,32,427,3
8TFD,B,20,127,1
8TQS,D,30,292,2
8ZBF,F,39,488,4
9GXH,D,15,222,2
9JF9,D,21,1598,2
9JHS,G,21,1592,2
